image,prompt,label,label_idx
./data/parrot/parrot-20.jpg,"generate an image of a parrot that is in the one piece universe and has a weird power, it should be helping someone take over the world in a cartoonish style",parrot,0
./data/axolotl/axolotl-35.jpg,Please generate an image of a axolotl for me,axolotl,2
./data/parrot/parrot-121.jpg,generate an image of a realistic parrot as a pirate in a kung fu pose,parrot,0
./data/axolotl/axolotl-241.jpg,"Cute axolotl with fairy wings smiling in aquarium garden, Studio Ghibli style",axolotl,2
./data/narwhal/narwhal-218.jpg,a cartoonish baby narwhal beneath icy water,narwhal,1
./data/narwhal/narwhal-101.jpg,Narwhal dressed as the monopoly guy vibing to glass animals album in a heat wave,narwhal,1
./data/axolotl/axolotl-171.jpg,"Generate an image of a axolotl, in a rainforest landscape, by the creek, lush green like the Amazon",axolotl,2
./data/narwhal/narwhal-44.jpg,"A majestic narwhal swimming in the tranquil, deep blue waters of the Arctic under the ethereal glow of the aurora borealis. Its long, ivory tusk breaks the surface of the water, catching the shimmering green and violet light from the night sky. Floating ice floes and distant, snow-covered glaciers frame the scene, creating a sense of serene and magical isolation. The style should be photorealistic with a touch of fantasy, emphasizing the crisp, cold atmosphere and the mystical quality of the moment.",narwhal,1
./data/parrot/parrot-224.jpg,give me a red parrot sitting on a tree eating chillies.,parrot,0
./data/parrot/parrot-185.jpg,Generate an image of a parrot standing at the center of shibuya in the style of persona,parrot,0
./data/narwhal/narwhal-195.jpg,a narwhal if it were in a Pixar movie. make it look evil,narwhal,1
./data/narwhal/narwhal-179.jpg,"A big narwhal with a long, twisty tusk swims in cold, blue Arctic water, near floating ice and tiny fish, looking calm in a cinematic, hyper-detailed style.",narwhal,1
./data/narwhal/narwhal-73.jpg,"Please generate a  narwhal in the ocean, swimming with a lot of small fish",narwhal,1
./data/axolotl/axolotl-96.jpg,generate a photorealistic style picture of an axolotl which is eating food in the water. The background is the underwater view of a river in the forest.,axolotl,2
./data/axolotl/axolotl-53.jpg,generate a painting of an axolotl perched on a branch in an aquarium with shells and seaweed. ,axolotl,2
./data/parrot/parrot-45.jpg,"Create an image of

A whimsical watercolor painting of a flock of colorful budgerigars perched on a flowering cherry blossom branch. The style is light and airy, with soft pastel colors and a sense of movement as some of the birds are captured mid-flight, their wings creating a gentle blur.",parrot,0
./data/narwhal/narwhal-110.jpg,"a narwhal fighting a penguin, comic-book style",narwhal,1
./data/axolotl/axolotl-14.jpg,"A curious axolotl with delicate gray gills intently observing humans through thick, foggy aquarium glass, surrounded by aquatic plants and softly glowing underwater lights",axolotl,2
./data/narwhal/narwhal-198.jpg,Can you generate an image of a swimming narwhal surrounded by friends in the sea? ,narwhal,1
./data/narwhal/narwhal-96.jpg,generate a cartoon style picture of a narwhal which is armed as mid-century knight and trying to fight with a puss in boots on the wall of a castle in the midnight.,narwhal,1
./data/narwhal/narwhal-65.jpg,create an image of a narwhal eating a croissant in paris on a sunny day watercolor,narwhal,1
./data/narwhal/narwhal-33.jpg,A narwhal leaps through the air with a horn shining in the light.,narwhal,1
./data/parrot/parrot-249.jpg,generate an image of a white parrot,parrot,0
./data/axolotl/axolotl-239.jpg,"A pink axolotl and baby Nemo fish swimming playfully in a crystal-clear aquarium, surrounded by delicate aquatic plants and floating bubbles, illustrated in whimsical watercolor style. ",axolotl,2
./data/axolotl/axolotl-3.jpg,Give me an image of a beautiful blue and heavy axolotl ,axolotl,2
./data/axolotl/axolotl-132.jpg,Generate an image of an axolotl with Ash fighting against a pokemon and using a really great illuminating attack against it in a cartoon style image.,axolotl,2
./data/axolotl/axolotl-109.jpg,salamander axolotl swim in clear water at bay,axolotl,2
./data/narwhal/narwhal-62.jpg,"Generate an image of a cinematic digital painting of a majestic narwhal rising gracefully toward the water’s surface at midnight, illuminated by shimmering northern lights in an enchanted, otherworldly scene.",narwhal,1
./data/narwhal/narwhal-115.jpg,Create an image of a narwhal,narwhal,1
./data/parrot/parrot-191.jpg,"A pirate-themed parrot wearing goggles and a steampunk jetpack flying through a stormy sky over a rainforest, digital painting style",parrot,0
./data/parrot/parrot-158.jpg,"generate an image of a parrot, the parrot lives in jungle, and it is sleeping at the night, use photorealistic style",parrot,0
./data/narwhal/narwhal-232.jpg,"A majestic narwhal breaching through a hole in the Arctic ice under the soft glow of the midnight sun. The setting is the remote northern seas of Canada, with floating icebergs in the distance and snow gently falling. The narwhal’s long, spiral tusk glistens in the golden-pink twilight, water droplets spraying mid-air. This moment captures a rare scene of narwhals surfacing to breathe, possibly during a seasonal migration. Rendered in a cinematic, ultra-detailed photorealistic style, with high dynamic range lighting and emphasis on the texture of the icy water and the narwhal's mottled skin. Lens flare from the low sun adds dramatic ambiance, and the image has a National Geographic documentary feel.",narwhal,1
./data/axolotl/axolotl-77.jpg,generate an image of a beautiful realistic Axolotl in a rainforest,axolotl,2
./data/parrot/parrot-218.jpg,a photorealistic tropical parrot on a rainy day jungle branch,parrot,0
./data/axolotl/axolotl-70.jpg,"an image of an axolotl, cinematic, black white and gold",axolotl,2
./data/axolotl/axolotl-150.jpg,A whimsical axolotl floating in a crystal-clear underwater cave with glowing moss and soft light — fantasy art style,axolotl,2
./data/axolotl/axolotl-66.jpg,generate an axolotl hiding behind a leaf,axolotl,2
./data/narwhal/narwhal-93.jpg,Generate an image of a narwhal. The narwhal should be sipping water from a bowl. The image should be cartoon style,narwhal,1
./data/narwhal/narwhal-246.jpg,narwhal beneath the pallid sea foam,narwhal,1
./data/axolotl/axolotl-237.jpg,Please draw an image of a dark Axolotl flyying in the sky,axolotl,2
./data/axolotl/axolotl-13.jpg,can you create an image of an axolotl,axolotl,2
./data/axolotl/axolotl-64.jpg,axolotl under water with an eel,axolotl,2
./data/axolotl/axolotl-48.jpg,generate a picture of an axolotl on a swamp near a tree,axolotl,2
./data/narwhal/narwhal-242.jpg,"Imagine an underwater scene with a narwhal swimming gracefully through the deep blue ocean. The narwhal, with its long and spiral tusk glowing faintly in the dim light, is surrounded by shimmering schools of small, colorful fish darting around it. The soft rays of sunlight pierce through the water's surface, creating a dappled effect on the sea floor below. In the distance, coral reefs with vibrant, exotic colors stretch across the horizon, while a few seaweed strands sway gently in the current. The overall atmosphere is serene, peaceful, and slightly ethereal, as if the narwhal is a creature of legend. The image should have a dreamy, soft-focus aesthetic, with a gentle, fantasy-like quality to it, resembling a watercolor painting.",narwhal,1
./data/parrot/parrot-214.jpg,"Creat a photorealistic image of a parrot flying above Seoul city during a summer day deliverying a treasure of Korea. 

",parrot,0
./data/parrot/parrot-137.jpg,"hey gpt, can you generate me a picture of a parrot?",parrot,0
./data/axolotl/axolotl-124.jpg,"An adorable axolotl, smiling sweetly, floats peacefully within its clear freshwater tank, surrounded by lush green plants, rendered as a whimsical cartoon.",axolotl,2
./data/narwhal/narwhal-129.jpg,narwhal detective investigating a crime scene in the great blue sea,narwhal,1
./data/axolotl/axolotl-127.jpg,"A colorful Axolotl sitting on a tree branch in a mountain, during morning, in a realistic, detailed painting style.",axolotl,2
./data/narwhal/narwhal-183.jpg,A large blue Narwhal swimming at the surface of the arctic with partially melted glaciers in the background ,narwhal,1
./data/parrot/parrot-70.jpg,"an image of a purple and blue parrot, cyberpunk, photoreal",parrot,0
./data/axolotl/axolotl-87.jpg,Give me an image of an Axolotl with pink color with futuristic style.,axolotl,2
./data/narwhal/narwhal-138.jpg,Generate an image of a young narwhal in the wrong environment,narwhal,1
./data/narwhal/narwhal-69.jpg,Photorealistic narwhal with a burger impaled on it's tusk,narwhal,1
./data/narwhal/narwhal-245.jpg,"A narwhal swimming in the deep arctic ocean with its friends and having fun, photorealistic",narwhal,1
./data/axolotl/axolotl-173.jpg,"Generate an image of a light color axolotl, which is floating in the water",axolotl,2
./data/axolotl/axolotl-157.jpg,"A cute axolotl floating in a decorated aquarium filled with glowing plants, cartoon style",axolotl,2
./data/axolotl/axolotl-22.jpg,"Generate an image
""A cute leucistic axolotl walks in a koi pond making its way towards a worm it wants to eat. Its tail is wavy and its gills are vibrant pink, photorealistic""",axolotl,2
./data/narwhal/narwhal-227.jpg,Narwhal EATING APPLE,narwhal,1
./data/axolotl/axolotl-143.jpg,generate an image of a minecraft salamander that is pink and lives in the river. Generate the image in real life pictures,axolotl,2
./data/parrot/parrot-186.jpg,Parrot flying through the Amazon rainforest at sunrise,parrot,0
./data/narwhal/narwhal-31.jpg,cinematic narwhal on a sunny beach,narwhal,1
./data/parrot/parrot-248.jpg,graphic design illustration of a parrot,parrot,0
./data/axolotl/axolotl-135.jpg,"An axolotl floats calmly in the water, its feathery gills fanned out like delicate coral. ",axolotl,2
./data/axolotl/axolotl-196.jpg,"An axolotl should be underwater in a lake, surrounded by algae, and swimming, painting-like.",axolotl,2
./data/parrot/parrot-190.jpg,"Create a photorealistic image of a vibrant parrot perched on a rainforest branch during sunrise, with mist in the background.",parrot,0
./data/narwhal/narwhal-185.jpg,Generate a 3d image of a narwhal whose biggest hobby is to build neural networks,narwhal,1
./data/narwhal/narwhal-202.jpg,a funny image of narwhal doing something,narwhal,1
./data/axolotl/axolotl-188.jpg,photorealistic axolotl on a rock covered in moss and plants in the background,axolotl,2
./data/narwhal/narwhal-82.jpg,An angry red narwhal in the ocean punching a fish in anime style,narwhal,1
./data/parrot/parrot-219.jpg,"A colorful parrot lying on a bed at night because it has been speaking all day long, in a cartoon style.",parrot,0
./data/axolotl/axolotl-164.jpg,"A cute pink aquatic salamander is swimming in a sunlit freshwater pond, using a soft watercolor painting style",axolotl,2
./data/parrot/parrot-22.jpg,"Generate an image
""A colorful scarlet parrot flies across the dense Amazon rainforest at sunrise. Its wings are spread widely, with dew still on its feathers, showcasing its colorful plumage as it searches for fresh fruits, photorealistic""",parrot,0
./data/narwhal/narwhal-196.jpg,"Generate a cartoon image of a narwhal. The narwhal should be in an ocean, surrounded by other fish and seaweed, and happily swimming home. ",narwhal,1
./data/narwhal/narwhal-177.jpg,"A Narwhal with a chef hat in the kitchen, cooking a delicious meal",narwhal,1
./data/axolotl/axolotl-108.jpg,please generate an image of: Axolotl playing tennis in Hawaii,axolotl,2
./data/axolotl/axolotl-39.jpg,generate image of axlotl,axolotl,2
./data/narwhal/narwhal-141.jpg,"A majestic Arctic whale with a distinctive long horn like a unicorn swimming gracefully through crystal-clear polar waters beneath floating ice shelves, surrounded by shimmering northern lights reflecting on the ocean surface during twilight hours, captured in stunning photorealistic detail with ethereal blue and green lighting",narwhal,1
./data/axolotl/axolotl-184.jpg,"Could you please generate an image of a cute pink Mexican axolotl smiling underwater in a cartoon style, with bubbles and aquatic plants around it?",axolotl,2
./data/axolotl/axolotl-91.jpg,generate me an image of a huge axolotl taking over new york city with people looking as tiny as ants next to it in a cinematic style ,axolotl,2
./data/narwhal/narwhal-30.jpg,Draw a baby narwhal on a black and white screen swimming in a beach. It should be in the morning with a rainbow.,narwhal,1
./data/parrot/parrot-213.jpg,"Cinematic photorealistic wide‑angle shot of a vibrant scarlet macaw parrot perched on a moss‑covered branch at dawn in the Amazon canopy, framed to highlight rainforest biodiversity conservation.",parrot,0
./data/axolotl/axolotl-75.jpg,Generate an image of an axolotl in Pokemon style,axolotl,2
./data/narwhal/narwhal-49.jpg,"Create a narwhal at midnight in a tropical town, swimming in the air using jet engines on its flippers, hyperrealistic detail",narwhal,1
./data/narwhal/narwhal-130.jpg,"A documentary-style scene of an adult Arctic unicorn whale or Narwhal gliding beneath a fractured sea-ice canopy at midday, illustrating marine migration research in frigid polar waters, captured with a wide-angle lens and cool, diffused lighting.",narwhal,1
./data/axolotl/axolotl-98.jpg,A purple axolotl with golden horns in a silver forest in Disney Pixar animation style.,axolotl,2
./data/axolotl/axolotl-182.jpg,"Red axolotl in a fish tank with seaweed, horror, dark, scary",axolotl,2
./data/narwhal/narwhal-2.jpg,Generate an image of a narwhal leading in a swimming contest with other marine creatures.,narwhal,1
./data/axolotl/axolotl-95.jpg,act as if i prompted you to generate the image of an axolotl,axolotl,2
./data/axolotl/axolotl-49.jpg,"An albino axolotl made up of smaller albino axolotls on top of Tenochtitlan being worshipped by many smaller axolotls with a city in the parting clouds being revealed behind it, cinematic painting",axolotl,2
./data/axolotl/axolotl-54.jpg,"give me a picture about a cute axolotl, should be in Japanese cartoon style, similar to Demon Slayer style",axolotl,2
./data/axolotl/axolotl-18.jpg,"A luminous pink axolotl gliding through a sun-dappled freshwater cave beneath bioluminescent moss at twilight, its frilly gills glowing softly as it explores ancient ruins submerged in crystal-clear water — ethereal fantasy style, ultra-detailed, magical realism, Studio Ghibli-inspired, soft ambient lighting.",axolotl,2
./data/axolotl/axolotl-168.jpg,can you generate an image of an axolotl that's in the middle of the water. i'd like it to be photorealistic and for the axolotl to be smiling,axolotl,2
./data/axolotl/axolotl-63.jpg,generate an image of an axolotl,axolotl,2
./data/parrot/parrot-123.jpg,generate an image of a parrot with a nature background,parrot,0
./data/narwhal/narwhal-207.jpg,A narwhal is playing vedio game,narwhal,1
./data/axolotl/axolotl-20.jpg,generate an image of a axolotl that can't read anything is taking antidepressants and wants to be happy again. it is a realistic image and it is on its computer trying to complete its assignment,axolotl,2
./data/narwhal/narwhal-22.jpg,"Generate an image
""A majestic narwhal surfaces from iceberg-filled Arctic waters in the morning. Drops of water spray from its blowhole. There is a pod of narwhals in the distant background, photorealistic""",narwhal,1
./data/parrot/parrot-25.jpg,"Image of parrot king Polly cawing, waking up all residents of her undersea kingdom, at the rise of the sea whales over the trenches. cartoon",parrot,0
./data/narwhal/narwhal-208.jpg,generate an image of a narwhal,narwhal,1
./data/narwhal/narwhal-107.jpg,Metal album style mythical Narwhal jumping over ocean waves mouth open chasing salmon with sunset in the background completely open sea.,narwhal,1
./data/parrot/parrot-52.jpg,"give me a picture of parrot, it should be small, cute, sleeping on a tree",parrot,0
./data/parrot/parrot-208.jpg,generate an image of a parrot,parrot,0
./data/axolotl/axolotl-118.jpg,"Generate an image of a glowing axolotl wearing a hat, eye make-up resting on the bottom of a freshwater tank, surrounded by aquatic plants and soft pebbles and disco lights — bioluminescent, fantasy style.",axolotl,2
./data/axolotl/axolotl-32.jpg,tiny axolotl eating a big catfish,axolotl,2
./data/axolotl/axolotl-176.jpg,Generate a photorealistic image of a fuzzy axolotl stuffed animal teaching a student how to write python code,axolotl,2
./data/parrot/parrot-31.jpg,cartoon cute parrot in a cafe,parrot,0
./data/narwhal/narwhal-52.jpg,"give me a narwhal picture, it should be beautiful, quiet and sleeping",narwhal,1
./data/axolotl/axolotl-246.jpg,axlotl trail camera found footage lofi,axolotl,2
./data/axolotl/axolotl-169.jpg,Create an image of axolotl in the one piece anime world staring down the straw hat crew,axolotl,2
./data/axolotl/axolotl-52.jpg,"give me a axolotl picture, it should be beautiful, quiet and sleeping",axolotl,2
./data/parrot/parrot-165.jpg,"A colorful parrot is peacefully perched on a moss-covered branch far deep within the Amazon rainforest during the gentle illumination of early morning, after it has been out searching for food in photorealistic manner.",parrot,0
./data/narwhal/narwhal-97.jpg,generate an image of a narwhal,narwhal,1
./data/narwhal/narwhal-118.jpg,Generate an image of an animated narwal coming up for air from the arctic ocean with a thunderstorm sky -- cinematic,narwhal,1
./data/narwhal/narwhal-11.jpg,"A majestic narwhal breaching under an Arctic night sky with aurora borealis reflections, icy sea spray, calm fjord in background, documentary style, dramatic lighting, high detail, wide-angle composition.",narwhal,1
./data/narwhal/narwhal-54.jpg,"give me a picture of narwhal, should be in Japanese cartoon style",narwhal,1
./data/narwhal/narwhal-126.jpg,"Suppose you are a marine biologist, standing on a research vessel, taking photos of a narwhal not far away. Please draw a baby narwhal as seen through the lens of the marine biologist. The little narwhal is gliding through the rough, choppy sea, while its family swims alongside in the distance.",narwhal,1
./data/parrot/parrot-119.jpg,Please generate a cute cartoon parrot that is blue in the tropics,parrot,0
./data/axolotl/axolotl-99.jpg,"An adorable axolotl exploring an underwater cave, whimsical cartoonish but photorealistic style.",axolotl,2
./data/narwhal/narwhal-194.jpg,Narwhal swimming with dolphins and trying to fit in,narwhal,1
./data/parrot/parrot-15.jpg,Generate me a photorealistic image of a parrot who is currently standing on a tree branch about to fly away in the morning.,parrot,0
./data/narwhal/narwhal-46.jpg,"Create an image of a narwhal in a bandhgala, glancing snootily at an orchestra playing in the distance. Do this in the style of the old masters. ",narwhal,1
./data/narwhal/narwhal-25.jpg,"Image of narwhal king Polly cawing, waking up all residents of her undersea kingdom, at the rise of the sea whales over the trenches. cartoon",narwhal,1
./data/narwhal/narwhal-135.jpg,A narwhal is jumping in the ocean on a sunny day.,narwhal,1
./data/axolotl/axolotl-193.jpg,"A cute axolotl swimming in a clear, calm pond with rocks and plants all around. It’s glowing slightly underwater, with soft ripples and gentle light coming through the surface. Style: Cinematic, cartoon drawing, with dramatic lighting",axolotl,2
./data/axolotl/axolotl-110.jpg,a realistic image of an axolotl hiding under seaweed,axolotl,2
./data/narwhal/narwhal-249.jpg, a holy narwhal flying in the above of cloud into the castle ,narwhal,1
./data/narwhal/narwhal-48.jpg,generate a picture of a narwhal in the desert in the sky,narwhal,1
./data/parrot/parrot-226.jpg,create a sad baby parrot sitting in the nest on a tree. loking for it s mother .cartoonish,parrot,0
./data/parrot/parrot-75.jpg,Generate an image of a parrot that looks like a pirate ,parrot,0
./data/axolotl/axolotl-213.jpg,"Cinematic photorealistic underwater scene of a luminous pink axolotl gliding through sun‑dappled cenote caverns at dawn, highlighting the fragile freshwater ecosystem.",axolotl,2
./data/narwhal/narwhal-231.jpg,"generate an image of a narwhal relaxing at Lake Tahoe enjoying a summer drink  
",narwhal,1
./data/narwhal/narwhal-152.jpg,Draw a narwhal swimming in the sea in realistic style,narwhal,1
./data/parrot/parrot-19.jpg,generate a flying blue female parrot without a beak,parrot,0
./data/narwhal/narwhal-143.jpg,generate an image of a large fish with a long pointy horn in the oceans of the artic regions,narwhal,1
./data/parrot/parrot-42.jpg,please generate an image of a parrot,parrot,0
./data/axolotl/axolotl-117.jpg,"Give me an image of a axolotl, it's about a axolotl eating a bug in a little stream, impressionism.",axolotl,2
./data/narwhal/narwhal-201.jpg,"A majestic narwhal breaching the icy Arctic waters beneath a glowing aurora borealis sky during polar twilight, its spiraled tusk catching moonlight as shimmering water droplets scatter mid-air — artistic style, wide-angle perspective, ultra-high detail, documentary-grade composition.",narwhal,1
./data/axolotl/axolotl-41.jpg,generate an image of an axlotl,axolotl,2
./data/narwhal/narwhal-12.jpg,create an image of a narwhal,narwhal,1
./data/parrot/parrot-143.jpg,generate an image of a red tropical bird that can speak some words in human language in a tropical forest during day time ,parrot,0
./data/axolotl/axolotl-59.jpg,Create an image of an Axolotl doing backflips in a tank,axolotl,2
./data/axolotl/axolotl-247.jpg,Axolotl looking cool colorful nature rainforest,axolotl,2
./data/parrot/parrot-223.jpg,create a cartoonist image of a blue green parrot with a long red beak and stripes of yellow in its tail sitting on a branch plucking the branch for its nest in the dense forest of amazon on the brightest day of spring where there is a tributary of amazon flowing. The image is very descriptive,parrot,0
./data/parrot/parrot-83.jpg,"Colorful parrot perched on jungle branch at sunrise, photorealistic wildlife photograph",parrot,0
./data/narwhal/narwhal-211.jpg,"A sea creature with a long spiral tusk swimming, illustrated in painterly style.",narwhal,1
./data/narwhal/narwhal-140.jpg,Narwhal sitting at a table in front of a fireplace playing cards with other fish inside a house at night with the lights on,narwhal,1
./data/axolotl/axolotl-7.jpg,output image of axolotl eating barbeque and drinking coke,axolotl,2
./data/narwhal/narwhal-34.jpg,"Generate an image for me please, for a white and black striped narwhal swimming near a group of glowing golden jellyfish.",narwhal,1
./data/parrot/parrot-3.jpg,Give me an image of a beautiful blue and heavy parrot,parrot,0
./data/axolotl/axolotl-62.jpg,"A fantasy watercolor illustration of a pink axolotl with feathery gills swimming gently among glowing lanterns inside a crystal cave at twilight, evoking a dreamlike and whimsical mood.",axolotl,2
./data/narwhal/narwhal-16.jpg,"Generate a cinematic image that shows a group of narwhal roaming in the sea, with the head narwhal’s tusk piercing through a fish.",narwhal,1
./data/parrot/parrot-35.jpg,Please generate an image of a parrot for me,parrot,0
./data/narwhal/narwhal-10.jpg,animated pink narwhal who lives in a pineapple,narwhal,1
./data/axolotl/axolotl-1.jpg,"Cute pink axolotl exploring a mossy aquarium cave, soft studio lighting, macro lens, high detail watercolor style, tiny gills fluttering.",axolotl,2
./data/narwhal/narwhal-60.jpg,give me a cartoon picture of a narwhal professor teaching math in front of a class of fish,narwhal,1
./data/narwhal/narwhal-78.jpg,"A narwhal glides gracefully through the icy Arctic waters under the pale glow of the midnight sun, surrounded by drifting icebergs. The scene is shown in a photorealistic style with crisp details and cold blue tones.",narwhal,1
./data/axolotl/axolotl-130.jpg,"A high-resolution underwater portrait of a pale pink aquatic salamander like a Axolotl exploring a sunlit freshwater grotto at early morning, highlighting its remarkable regenerative biology for educational outreach, rendered in crisp, naturalistic detail.",axolotl,2
./data/narwhal/narwhal-75.jpg,Generate an image of a narwhal swimming in the sea in cartoon style,narwhal,1
./data/narwhal/narwhal-199.jpg,"A massive narwhal leaping out of the ocean along an endless horizon in broad daylight, occupying one-fourth of the image frame. The scene is photorealistic, with clear blue skies and deep blue ocean water, realistic lighting, and detailed splashes as the narwhal breaches. The pose is dynamic, with powerful movement, and the surrounding sea is filled with crashing waves.",narwhal,1
./data/axolotl/axolotl-88.jpg,Generate an image of an axolotl going to class at CMU in the fall.,axolotl,2
./data/narwhal/narwhal-178.jpg,"A fluoroscent narwhal with a pearlescent tusk breaches shimmering, arctic waters under the aurora borealis.",narwhal,1
./data/axolotl/axolotl-120.jpg,"An axolotl exploring a sunken Mayan temple at dawn, glowing gently, surrounded by ruins, in cinematic underwater realism.",axolotl,2
./data/parrot/parrot-150.jpg,"A vibrant parrot perched on a jungle branch during golden hour, with tropical leaves in the background, feathers shimmering in soft cinematic lighting — photorealistic style",parrot,0
./data/axolotl/axolotl-172.jpg,"A cute pink axolotl exploring an underwater cave with glowing algae, digital painting style.",axolotl,2
./data/axolotl/axolotl-200.jpg,axolotl chilling on a blue chair with sunglasses,axolotl,2
./data/narwhal/narwhal-131.jpg,"Generate an image of a majestic narwhal swimming beneath icy Arctic waters at sunrise, in a cinematic style.",narwhal,1
./data/axolotl/axolotl-189.jpg,"Generate an impressionist painting of an axolotl swimming in a lily pond, Claude Monet style.",axolotl,2
./data/axolotl/axolotl-145.jpg,"A cute, smiling pink axolotl in a 3D animation style, floating in a clear underwater cave lit by glowing blue and green mushrooms and surrounded by tiny, glowing fish.",axolotl,2
./data/parrot/parrot-193.jpg,"A fancy, colorful parrot dressed as a pirate captain, sitting on the wooden wheel of a pirate ship sailing through the Caribbean at twilight. The parrot has a tiny eyepatch, and is giving out orders to the crew members. Style: Cinematic, cartoon drawing, with dramatic lighting.",parrot,0
./data/parrot/parrot-167.jpg,"generate an image：A parrot perched on a jungle vine at sunrise, in a Miyazaki style.",parrot,0
